部门,活动名称,类别,开始日期,结束日期,开始时间,结束时间,地点,负责人,交付物,重复,说明
视觉传达部,视频号“冯如远航”内容更新,视频号,2026-09-10,,,,线上,待定,视频号内容,每两周,双周更新，保持账号活跃
创意设计部,迎新展板与海报设计,设计,2026-09-01,2026-09-10,,,办公室,待定,展板/海报,,迎新氛围布置
创意设计部,招新宣传物料设计,设计,2026-10-01,2026-10-08,,,办公室,待定,海报/易拉宝,,配合招新宣传
创意设计部,校庆日视觉设计,设计,2026-10-15,2026-10-22,,,办公室,待定,主视觉/横幅,,校庆系列活动视觉
创意设计部,元旦晚会主视觉与节目单,设计,2026-11-25,2026-12-20,,,办公室,待定,主视觉/节目单,,晚会全套视觉物料
创意设计部,春季开学视觉设计,设计,2027-02-20,2027-02-28,,,办公室,待定,展板/海报,,春季开学氛围布置
创意设计部,运动会视觉设计,设计,2027-04-01,2027-04-10,,,办公室,待定,横幅/海报,,运动会视觉物料
创意设计部,艺术节视觉设计,设计,2027-04-10,2027-04-25,,,办公室,待定,主视觉/海报,,艺术节系列活动视觉
创意设计部,毕业季文创设计,文创,2027-04-01,2027-05-15,,,办公室,待定,文创成品,,毕业季纪念文创
创意设计部,文创季度上新（春季）,文创,2027-03-01,2027-03-31,,,办公室,待定,文创上新,,春季文创上新
创意设计部,文创季度上新（夏季）,文创,2027-06-01,2027-06-30,,,办公室,待定,文创上新,,夏季/毕业季文创上新
